LNR,RESPONSE
1754,0.037008435
1770,0.036930874
1465,0.0013858969
1470,0.0012259393
1478,0.003878802
1782,0.0023942366
1485,0.0074401996
1519,0.022120219
1835,0.023870684
1522,0.0013665212
1539,0.0021686112
1853,0.04978722
1856,0.012101679
2502,0.0022027313
2182,0.04448202
2191,0.024287568
2522,0.023647813
2530,0.039113965
2215,0.0022185198
2550,0.033189315
2570,0.001063332
2574,0.0009344729
2579,0.001644623
2247,0.02743121
2674,0.0012011657
11434,0.0020033447
11122,0.08487249
11127,0.02173558
11443,0.01278316
11170,0.011353054
11191,0.0013982902
11198,0.043605637
10936,0.01425953
11244,0.0043410864
11247,0.033844717
11252,0.0017629301
11259,0.011347162
10945,0.000436087
10951,0.001250423
11271,0.024833972
10963,0.026565364
11282,0.0053329724
11291,0.0015309958
10980,0.0011599591
10994,0.0010674017
10998,0.011353054
11303,0.01710314
11630,0.0005188803
11636,0.003202415
11949,0.0016217227
11950,0.032096524
11956,0.034363296
11648,0.011353054
11653,0.0253116
11967,0.002266564
11972,0.00081098545
11975,0.0016241671
12110,0.0013059895
12113,0.021828793
11712,0.0015091919
11716,0.012255258
12000,0.0009589479
11722,0.026095133
12023,0.011353054
12046,0.0016024929
11762,0.011347162
12071,0.0012372314
12077,0.0009814524
11785,0.031091439
11788,0.0008516352
11790,0.0008135853
11800,0.024447523
11806,0.0006260214
11816,0.0013828486
11505,0.002526516
11837,0.00063879887
11531,0.035196763
11848,0.0012929247
11854,0.0013699329
11877,0.0018430103
11563,0.00086543517
11567,0.001816404
11894,0.003364973
11906,0.0034378506
11917,0.011353054
11610,0.011353054
11923,0.0026405123
12596,0.0022719523
12603,0.0013896412
12608,0.0010273987
12633,0.0014536252
12637,0.007260719
21484,0.011347162
21184,0.0036194536
21247,0.0027516417
20991,0.025930049
21018,0.0017740795
21019,0.043373697
21047,0.0011994793
21054,0.002081187
21374,0.0019310169
21392,0.0027323444
21713,0.0023492258
22019,0.0018895245
22025,0.033986866
21722,0.037162278
21728,0.0039399243
22039,0.011353054
22044,0.0047863014
61900,0.0011927411
62548,0.025464395
63176,0.0013584602
64473,0.04061044
64779,0.045409016
64780,0.0014795249
64784,0.0013135988
65105,0.011353054
65431,0.023799878
65433,0.017919471
66055,0.00095997157
66071,0.011353054
61280,0.024686966
61281,0.027914012
61284,0.0006831765
61597,0.0019942087
61606,0.0031813304
62235,0.034227464
62240,0.0005431984
62241,0.00047201026
62555,0.041660417
62557,0.0085327625
62565,0.0017615509
62566,0.021386962
63515,0.002283214
63524,0.044535078
64797,0.0015085565
65116,0.012255258
75249,0.002434748
75253,0.038954977
75575,0.015815323
76212,0.0018271785
71422,0.0021371138
72059,0.022314731
72060,0.0032886632
72383,0.002743869
72386,0.0014757704
72700,0.0013668335
72715,0.00041520956
73028,0.0017474683
73346,0.0017251716
73658,0.0025864656
73662,0.031321403
73666,0.011077597
73668,0.008181854
73985,0.040063176
74299,0.0012259393
74310,0.028613366
74312,0.0341351
74619,0.0066773663
74620,0.00073125685
74627,0.0012338847
74938,0.0010518595
74952,0.0006460399
75911,0.0027622387
75913,0.0014477014
76221,0.0009117256
76227,0.002858382
71448,0.0023671011
15887,0.0008106588
15498,0.0025548735
15504,0.018267814
15507,0.0012161577
15521,0.000805777
24403,0.0013664832
24100,0.034897584
24436,0.0030780004
24440,0.00065377617
24442,0.01425953
24148,0.0014276585
24149,0.0010395754
24155,0.0017427467
24458,0.0008445352
24169,0.028091114
24477,0.06750848
24479,0.000775088
24486,0.0017225109
24190,0.029545698
24515,0.030914208
24214,0.01892953
25183,0.011353054
25207,0.0022691684
24889,0.026344433
24890,0.0012874617
25226,0.015040226
25232,0.011141736
25244,0.0025199414
25339,0.0008267772
25355,0.025350574
24958,0.001664513
25277,0.0036053827
25286,0.03087425
24988,0.011353054
25298,0.0017410032
25309,0.03152146
25315,0.0015224862
25014,0.015815323
25322,0.00138244
25333,0.03099297
25025,0.015268499
24726,0.0022408254
24735,0.011347162
25055,0.0025056473
25056,0.0018503276
24746,0.027995871
25061,0.00082494353
25067,0.001138328
25074,0.0045901253
24773,0.0012804517
25080,0.011347162
25086,0.016324656
25088,0.001424357
24777,0.0023643118
24796,0.0029445363
25104,0.005350425
24806,0.0005227546
25118,0.0006365719
24822,0.015815323
82811,0.038734045
83449,0.012581042
83459,0.011347162
83770,0.011353054
84091,0.0033896032
84096,0.00088726595
84737,0.011885934
85048,0.011077597
85049,0.04159572
85051,0.0014316594
85369,0.003020362
85374,0.0013224765
85380,0.028679201
82190,0.0013720857
82505,0.013410441
82515,0.002149633
82517,0.0006830286
82821,0.013890528
83140,0.016745985
788,0.003032645
1102,0.0024559468
1109,0.0020215227
821,0.0005219107
829,0.0025425386
837,0.035979062
845,0.01328511
1163,0.033182327
861,0.011347162
899,0.0038010841
1207,0.014174491
906,0.0023462786
1221,0.04816781
1545,0.0018138731
1546,0.046874978
1555,0.0027755687
1556,0.025775589
1879,0.0008199211
1885,0.03330016
1593,0.0006256882
1902,0.030191911
1611,0.0012051492
1921,0.002292098
1927,0.028074075
1651,0.0021310193
1978,0.025084505
1718,0.0031174074
1722,0.0015929143
1734,0.030683467
41705,0.003358174
41711,0.011353054
41712,0.0011810558
42029,0.0024851654
42347,0.0005691316
42352,0.0012037857
42353,0.0057434435
42671,0.027868614
42987,0.001673555
43310,0.0023408416
43627,0.00088330713
43629,0.002068736
43945,0.013410441
43953,0.0009756938
43954,0.04052783
43961,0.0034636268
44280,0.0013709337
44917,0.0038108453
44924,0.025684154
44927,0.0030389128
45244,0.008204091
45570,0.008326058
45584,0.02869144
41721,0.0032197135
41739,0.011353054
42054,0.01993655
42369,0.0024272848
42689,0.0016066564
43019,0.0009100159
43331,0.032836396
51328,0.006840693
51644,0.023881081
51653,0.030399565
51969,0.0017504155
52308,0.030577473
52310,0.008450571
52626,0.021795472
52638,0.0005740035
52940,0.0012181195
52954,0.022044884
55194,0.012041453
55196,0.0014048106
55526,0.011353054
55847,0.0025548735
55848,0.01425953
51024,0.011353054
51031,0.0017957826
51342,0.037030336
51348,0.0014034781
51666,0.0029875494
51674,0.0015391503
51680,0.1534668
52331,0.00058179104
53302,0.011347162
82163,0.037372228
82481,0.00067586516
82498,0.0011997622
55852,0.011347162
55858,0.0019744951
55859,0.0029772217
51037,0.011347162
51039,0.0020511174
51683,0.02755588
51685,0.0012490678
51695,0.0071755596
51702,0.001915582
52343,0.027257917
52353,0.011077597
53314,0.011353054
53322,0.009544505
53950,0.032300487
54597,0.0013092003
54925,0.0013711567
55245,0.021626808
55558,0.012706497
55882,0.015316213
51384,0.0007231875
51703,0.020693501
51706,0.008921984
51711,0.029731628
52041,0.0012499577
52047,0.003701417
52369,0.03372727
52689,0.0015097205
53331,0.0011994793
53341,0.0005740035
63455,0.028390395
63780,0.0013906904
63783,0.011347162
64096,0.0024347845
64104,0.0005767562
64109,0.0023198354
64422,0.001553352
65391,0.01425953
65705,0.0006688528
65709,0.00095195195
61568,0.014087654
62203,0.006799045
62850,0.0025003888
62851,0.07004227
63164,0.0016161499
63491,0.027910957
63796,0.0011015357
63799,0.019114992
63802,0.0016280957
63812,0.010542291
64127,0.0021945143
64449,0.020094354
64771,0.0014924497
65082,0.011353054
65399,0.0017470183
66039,0.011353054
66048,0.0008867026
71758,0.036021255
72077,0.011347162
72087,0.011353054
72405,0.015188694
72723,0.0022408196
72735,0.0033211033
73046,0.0026395572
73682,0.0020960914
73694,0.00080448744
73696,0.033764485
74317,0.02147415
74974,0.0013224765
75286,0.0019185338
75605,0.001673555
75612,0.011077597
75929,0.012241097
